Date,ProductID,WarehouseID,OnHand,Reserved,Available,MinimumStock,TargetStock,ReorderQuantity,IssuesLast30Days,UnitCost,StockStatus
2017-12-31,P043,8,23,8,15,18,102,87,91,865.59,Bajo minimo
2017-12-31,P044,2,19,3,16,16,128,0,113,787.72,Normal
2017-12-31,P044,5,98,8,90,28,140,0,107,787.72,Normal
2017-12-31,P044,7,27,3,24,26,82,58,60,787.72,Bajo minimo
2017-12-31,P045,1,14,0,14,12,40,0,28,879.8,Normal
2017-12-31,P045,2,21,3,18,20,76,58,58,879.8,Bajo minimo
2017-12-31,P045,9,100,9,91,56,168,0,130,879.8,Normal
2017-12-31,P046,5,0,0,0,26,82,82,0,799.98,Sin stock
2017-12-31,P046,7,0,0,0,16,72,72,0,799.98,Sin stock
2017-12-31,P046,9,74,2,72,15,99,0,89,799.98,Normal
2017-12-31,P047,2,110,1,109,20,132,0,108,738.71,Normal
2017-12-31,P047,5,0,0,0,12,124,124,0,738.71,Sin stock
2017-12-31,P047,9,50,0,50,28,84,0,55,738.71,Normal
2017-12-31,P048,1,24,1,23,27,111,88,71,668.24,Bajo minimo
2017-12-31,P048,6,116,7,109,50,190,0,166,668.24,Normal
2017-12-31,P048,9,109,8,101,56,168,0,128,668.24,Normal
2017-12-31,P049,7,132,0,132,32,144,0,111,737.68,Normal
2017-12-31,P049,8,79,2,77,12,96,0,102,737.68,Normal
2017-12-31,P049,9,0,0,0,7,35,35,0,737.68,Sin stock
2017-12-31,P050,2,12,2,10,24,136,126,105,792.89,Bajo minimo
2017-12-31,P050,4,57,2,55,21,105,0,74,792.89,Normal
2017-12-31,P050,9,0,0,0,40,180,180,0,792.89,Sin stock
2017-12-31,P051,6,57,6,51,14,70,0,59,620.28,Normal
2017-12-31,P051,8,83,4,79,60,200,0,167,620.28,Normal
2017-12-31,P051,9,45,8,37,40,152,115,109,620.28,Bajo minimo
2017-12-31,P052,1,25,9,16,18,186,170,165,651.92,Bajo minimo
2017-12-31,P052,2,96,8,88,78,246,0,198,651.92,Normal
2017-12-31,P052,8,148,17,131,78,246,0,152,651.92,Normal
2017-12-31,P053,2,17,3,14,8,36,0,27,573.41,Normal
2017-12-31,P053,5,33,7,26,28,140,114,118,573.41,Bajo minimo
2017-12-31,P053,6,176,0,176,78,246,0,172,573.41,Normal
2017-12-31,P054,3,75,5,70,55,195,0,130,714.15,Normal
2017-12-31,P054,5,85,3,82,28,140,0,137,714.15,Normal
2017-12-31,P054,7,20,11,9,18,186,177,182,714.15,Bajo minimo
2017-12-31,P055,4,68,2,66,24,80,0,62,581.16,Normal
2017-12-31,P055,6,0,0,0,12,124,124,0,581.16,Sin stock
2017-12-31,P055,7,151,12,139,60,228,0,169,581.16,Normal
2017-12-31,P056,1,10,0,10,12,40,30,26,567.81,Bajo minimo
2017-12-31,P056,4,77,4,73,44,156,0,123,567.81,Normal
2017-12-31,P056,9,50,0,50,55,195,145,154,567.81,Bajo minimo
2017-12-31,P057,1,60,8,52,24,108,0,90,563.7,Normal
2017-12-31,P057,2,50,9,41,15,99,0,88,563.7,Normal
2017-12-31,P057,4,6,6,0,15,155,155,167,563.7,Sin stock
2017-12-31,P058,3,25,2,23,12,40,0,37,511.1,Normal
2017-12-31,P058,5,15,2,13,11,39,0,24,511.1,Normal
2017-12-31,P058,9,54,1,53,36,204,0,205,511.1,Normal
2017-12-31,P059,4,40,2,38,16,72,0,60,509.32,Normal
2017-12-31,P059,6,0,0,0,15,99,99,73,509.32,Sin stock
2017-12-31,P059,9,7,2,5,12,96,91,96,509.32,Bajo minimo
2017-12-31,P060,4,46,8,38,18,186,0,151,528.95,Normal
2017-12-31,P060,5,102,10,92,36,148,0,118,528.95,Normal
2017-12-31,P060,7,123,1,122,35,175,0,158,528.95,Normal
2017-12-31,P061,2,120,12,108,30,170,0,178,499.96,Normal
2017-12-31,P061,4,6,3,3,13,41,38,28,499.96,Bajo minimo
2017-12-31,P061,9,49,0,49,32,144,0,142,499.96,Normal
2017-12-31,P062,6,55,4,51,10,66,0,54,527.69,Normal
2017-12-31,P062,7,102,6,96,40,152,0,100,527.69,Normal
2017-12-31,P062,9,121,0,121,44,156,0,0,527.69,Normal
2017-12-31,P063,2,0,0,0,18,186,186,159,461.92,Sin stock
2017-12-31,P063,3,59,4,55,42,126,0,101,461.92,Normal
2017-12-31,P063,8,181,1,180,70,210,0,173,461.92,Normal
2017-12-31,P064,1,3,0,3,18,74,71,58,545.19,Bajo minimo
2017-12-31,P064,3,2,1,1,36,148,147,140,545.19,Bajo minimo
2017-12-31,P064,5,48,4,44,27,111,0,101,545.19,Normal
2017-12-31,P065,1,0,0,0,12,124,124,128,535.47,Sin stock
2017-12-31,P065,2,11,1,10,12,40,30,31,535.47,Bajo minimo
2017-12-31,P065,5,94,10,84,60,200,0,163,535.47,Normal
2017-12-31,P066,1,6,2,4,5,33,29,30,453.14,Bajo minimo
2017-12-31,P066,3,85,12,73,28,140,0,129,453.14,Normal
2017-12-31,P066,7,24,13,11,55,195,184,178,453.14,Bajo minimo
2017-12-31,P067,3,91,0,91,44,156,0,140,421.9,Normal
2017-12-31,P067,6,0,0,0,7,35,35,0,421.9,Sin stock
2017-12-31,P067,8,28,6,22,27,111,89,89,421.9,Bajo minimo
2017-12-31,P068,6,73,1,72,44,156,0,123,493.48,Normal
2017-12-31,P068,8,10,6,4,22,78,74,70,493.48,Bajo minimo
2017-12-31,P068,9,88,3,85,60,200,0,156,493.48,Normal
2017-12-31,P069,1,22,0,22,7,35,0,31,399.77,Normal
2017-12-31,P069,3,72,2,70,26,82,0,55,399.77,Normal
2017-12-31,P069,8,169,1,168,60,200,0,134,399.77,Normal
2017-12-31,P070,1,35,0,35,6,62,0,60,481.56,Normal
2017-12-31,P070,4,0,0,0,8,36,36,0,481.56,Sin stock
2017-12-31,P070,8,113,7,106,52,164,0,0,481.56,Normal
2017-12-31,P071,1,86,1,85,40,180,0,136,4058.99,Normal
2017-12-31,P071,2,122,9,113,60,200,0,144,4058.99,Normal
2017-12-31,P071,6,38,3,35,24,108,0,99,4058.99,Normal
2017-12-31,P072,2,18,1,17,11,39,0,37,3619.14,Normal
2017-12-31,P072,5,49,6,43,39,123,0,78,3619.14,Normal
2017-12-31,P072,8,157,11,146,84,252,0,203,3619.14,Normal
2017-12-31,P073,4,21,4,17,9,93,0,73,2505.04,Normal
2017-12-31,P073,5,56,7,49,48,160,0,137,2505.04,Normal
2017-12-31,P073,6,0,0,0,9,37,37,0,2505.04,Sin stock
2017-12-31,P074,6,0,0,0,78,246,246,0,2785.55,Sin stock
2017-12-31,P074,7,0,0,0,18,186,186,0,2785.55,Sin stock
2017-12-31,P074,8,46,6,40,12,96,0,77,2785.55,Normal
2017-12-31,P075,2,14,9,5,18,102,97,79,2628.06,Bajo minimo
2017-12-31,P075,5,30,4,26,28,84,58,59,2628.06,Bajo minimo
2017-12-31,P075,6,58,3,55,22,78,0,53,2628.06,Normal
2017-12-31,P076,4,74,6,68,28,84,0,55,2483.38,Normal
2017-12-31,P076,5,61,12,49,24,136,0,0,2483.38,Normal
2017-12-31,P076,8,0,0,0,30,198,198,0,2483.38,Sin stock
2017-12-31,P077,6,85,1,84,21,105,0,97,2313.07,Normal
2017-12-31,P077,7,0,0,0,12,124,124,0,2313.07,Sin stock
2017-12-31,P077,8,123,1,122,44,156,0,114,2313.07,Normal
2017-12-31,P078,4,27,2,25,24,136,0,121,2128.67,Normal
2017-12-31,P078,5,0,0,0,9,93,93,0,2128.67,Sin stock
2017-12-31,P078,9,45,0,45,36,120,0,105,2128.67,Normal
2017-12-31,P079,1,58,0,58,42,126,0,96,1740.31,Normal
2017-12-31,P079,2,71,7,64,15,155,0,128,1740.31,Normal
2017-12-31,P079,4,72,12,60,84,252,192,188,1740.31,Bajo minimo
2017-12-31,P080,2,39,2,37,33,117,0,105,1602.21,Normal
2017-12-31,P080,5,0,0,0,55,195,195,0,1602.21,Sin stock
2017-12-31,P080,9,52,2,50,9,93,0,74,1602.21,Normal
2017-12-31,P081,1,89,0,89,65,205,0,120,1715.91,Normal
2017-12-31,P081,3,27,2,25,24,108,0,89,1715.91,Normal
2017-12-31,P081,6,0,0,0,9,37,37,0,1715.91,Sin stock
2017-12-31,P082,1,175,4,171,48,216,0,182,1328.03,Normal
2017-12-31,P082,3,37,3,34,18,74,0,50,1328.03,Normal
2017-12-31,P082,8,81,5,76,44,156,0,107,1328.03,Normal
2017-12-31,P083,6,26,2,24,8,36,0,31,1268.42,Normal
2017-12-31,P083,7,163,5,158,65,205,0,137,1268.42,Normal
2017-12-31,P083,9,85,9,76,48,160,0,101,1268.42,Normal
2017-12-31,P084,1,25,2,23,5,33,0,27,1237.04,Normal
2017-12-31,P084,2,0,0,0,20,76,76,0,1237.04,Sin stock
2017-12-31,P084,9,65,13,52,45,185,0,152,1237.04,Normal
2017-12-31,P085,1,0,0,0,72,240,240,0,1343.84,Sin stock
2017-12-31,P085,4,93,13,80,15,155,0,138,1343.84,Normal
2017-12-31,P085,8,87,0,87,18,102,0,77,1343.84,Normal
2017-12-31,P086,4,140,8,132,60,200,0,150,1129.39,Normal
2017-12-31,P086,7,201,8,193,66,234,0,167,1129.39,Normal
2017-12-31,P086,9,26,0,26,6,62,0,72,1129.39,Normal
2017-12-31,P087,2,137,12,125,54,222,0,186,936.42,Normal
2017-12-31,P087,6,101,3,98,36,120,0,84,936.42,Normal
2017-12-31,P087,9,48,14,34,36,204,170,164,936.42,Bajo minimo
2017-12-31,P088,3,20,4,16,18,74,58,75,706.99,Bajo minimo
2017-12-31,P088,6,105,18,87,78,246,0,204,706.99,Normal
2017-12-31,P088,8,58,2,56,44,156,0,103,706.99,Normal
2017-12-31,P089,6,0,0,0,52,164,164,0,760.59,Sin stock
2017-12-31,P089,8,106,6,100,56,168,0,125,760.59,Normal
2017-12-31,P089,9,29,3,26,7,35,0,33,760.59,Normal
2017-12-31,P090,1,3,2,1,3,31,30,28,799.05,Bajo minimo
2017-12-31,P090,5,11,3,8,8,36,0,32,799.05,Normal
2017-12-31,P090,8,65,0,65,24,136,0,105,799.05,Normal
2017-12-31,P091,1,183,3,180,54,222,0,192,781.91,Normal
2017-12-31,P091,2,79,8,71,39,123,0,93,781.91,Normal
2017-12-31,P091,6,36,1,35,18,74,0,58,781.91,Normal
2017-12-31,P092,1,0,0,0,66,234,234,0,688.35,Sin stock
2017-12-31,P092,4,37,12,25,66,234,209,171,688.35,Bajo minimo
2017-12-31,P092,6,2,2,0,8,36,36,28,688.35,Sin stock
2017-12-31,P093,4,90,9,81,15,155,0,147,696.14,Normal
2017-12-31,P093,5,0,0,0,35,175,175,0,696.14,Sin stock
2017-12-31,P093,9,41,3,38,45,185,147,196,696.14,Bajo minimo
2017-12-31,P094,4,23,2,21,33,117,96,73,742.94,Bajo minimo
2017-12-31,P094,5,40,6,34,21,105,0,91,742.94,Normal
2017-12-31,P094,8,26,3,23,14,42,0,32,742.94,Normal
2017-12-31,P095,5,0,0,0,18,74,74,0,702.35,Sin stock
2017-12-31,P095,6,53,5,48,24,80,0,58,702.35,Normal
2017-12-31,P095,8,0,0,0,42,126,126,0,702.35,Sin stock
2017-12-31,P096,1,26,5,21,18,186,0,164,753.18,Normal
2017-12-31,P096,6,67,2,65,21,105,0,96,753.18,Normal
2017-12-31,P096,7,86,13,73,60,228,0,143,753.18,Normal
2017-12-31,P097,1,0,0,0,16,72,72,0,691.13,Sin stock
2017-12-31,P097,6,25,4,21,24,136,115,122,691.13,Bajo minimo
2017-12-31,P097,7,24,5,19,42,126,107,106,691.13,Bajo minimo
2017-12-31,P098,1,0,0,0,21,105,105,0,725,Sin stock
2017-12-31,P098,4,69,4,65,36,148,0,124,725,Normal
2017-12-31,P098,7,135,6,129,52,164,0,0,725,Normal
2017-12-31,P099,3,136,9,127,48,160,0,0,596.05,Normal
2017-12-31,P099,5,2,0,2,3,31,29,31,596.05,Bajo minimo
2017-12-31,P099,8,68,1,67,26,82,0,61,596.05,Normal
2017-12-31,P100,2,15,1,14,24,136,122,111,580.42,Bajo minimo
2017-12-31,P100,3,0,0,0,3,31,31,0,580.42,Sin stock
2017-12-31,P100,6,0,0,0,22,78,78,0,580.42,Sin stock
2017-12-31,P101,2,116,10,106,84,252,0,186,663.54,Normal
2017-12-31,P101,3,3,3,0,40,180,180,186,663.54,Sin stock
2017-12-31,P101,7,53,0,53,20,76,0,62,663.54,Normal
2017-12-31,P102,4,0,0,0,24,136,136,0,691.32,Sin stock
2017-12-31,P102,5,25,6,19,24,80,61,58,691.32,Bajo minimo
2017-12-31,P102,8,135,2,133,40,180,0,170,691.32,Normal
2017-12-31,P103,3,0,0,0,8,36,36,0,573.51,Sin stock
2017-12-31,P103,7,131,15,116,48,216,0,170,573.51,Normal
2017-12-31,P103,8,138,5,133,40,180,0,157,573.51,Normal
2017-12-31,P104,4,15,13,2,35,175,173,172,715.72,Bajo minimo
2017-12-31,P104,6,125,0,125,30,198,0,172,715.72,Normal
2017-12-31,P104,8,8,2,6,20,76,70,59,715.72,Bajo minimo
2017-12-31,P105,2,0,0,0,42,210,210,0,682.09,Sin stock
2017-12-31,P105,4,60,4,56,48,160,0,148,682.09,Normal
2017-12-31,P105,9,180,8,172,48,216,0,188,682.09,Normal
2017-12-31,P106,2,4,1,3,5,33,30,29,688.35,Bajo minimo
2017-12-31,P106,3,104,5,99,25,165,0,143,688.35,Normal
2017-12-31,P106,9,21,1,20,12,124,0,127,688.35,Normal
2017-12-31,P107,5,0,0,0,6,62,62,68,551.62,Sin stock
2017-12-31,P107,6,195,10,185,72,240,0,209,551.62,Normal
2017-12-31,P107,7,0,0,0,20,160,160,0,551.62,Sin stock
2017-12-31,P108,3,98,10,88,20,132,0,140,644.19,Normal
2017-12-31,P108,4,55,4,51,24,80,0,52,644.19,Normal
2017-12-31,P108,7,0,0,0,72,240,240,0,644.19,Sin stock
2017-12-31,P109,5,66,5,61,24,136,0,139,594.46,Normal
2017-12-31,P109,6,61,0,61,39,123,0,91,594.46,Normal
2017-12-31,P109,8,72,4,68,35,175,0,151,594.46,Normal
2017-12-31,P110,4,23,9,14,30,114,100,97,666.59,Bajo minimo
2017-12-31,P110,5,0,0,0,30,198,198,0,666.59,Sin stock
2017-12-31,P110,7,0,0,0,14,70,70,73,666.59,Sin stock
2017-12-31,P111,2,6,2,4,5,33,29,29,535.03,Bajo minimo
2017-12-31,P111,6,87,7,80,40,152,0,124,535.03,Normal
2017-12-31,P111,8,35,5,30,24,108,0,98,535.03,Normal
2017-12-31,P112,5,0,0,0,65,205,205,0,580.1,Sin stock
2017-12-31,P112,7,197,13,184,72,240,0,191,580.1,Normal
2017-12-31,P112,8,76,5,71,33,117,0,93,580.1,Normal
2017-12-31,P113,2,0,0,0,10,66,66,0,600.92,Sin stock
2017-12-31,P113,5,84,12,72,16,128,0,100,600.92,Normal
2017-12-31,P113,8,112,5,107,56,168,0,114,600.92,Normal
2017-12-31,P114,3,38,3,35,27,111,0,108,598.25,Normal
2017-12-31,P114,4,56,17,39,78,246,207,201,598.25,Bajo minimo
2017-12-31,P114,6,5,0,5,6,34,29,30,598.25,Bajo minimo
2017-12-31,P115,1,28,2,26,14,42,0,34,633.29,Normal
2017-12-31,P115,6,0,0,0,20,132,132,139,633.29,Sin stock
2017-12-31,P115,9,16,1,15,3,31,0,28,633.29,Normal
2017-12-31,P116,1,3,2,1,40,180,179,157,592.12,Bajo minimo
2017-12-31,P116,3,104,11,93,16,128,0,127,592.12,Normal
2017-12-31,P116,8,36,2,34,12,40,0,0,592.12,Normal
2017-12-31,P117,4,2,1,1,12,96,95,94,539.98,Bajo minimo
2017-12-31,P117,7,5,5,0,9,93,93,77,539.98,Sin stock
2017-12-31,P117,8,82,3,79,40,180,0,149,539.98,Normal
2017-12-31,P118,3,76,8,68,40,152,0,113,605.3,Normal
2017-12-31,P118,6,88,2,86,39,123,0,0,605.3,Normal
2017-12-31,P118,8,47,4,43,66,234,191,207,605.3,Bajo minimo
2017-12-31,P119,1,0,0,0,36,204,204,0,521.03,Sin stock
2017-12-31,P119,8,0,0,0,18,186,186,0,521.03,Sin stock
2017-12-31,P119,9,59,6,53,20,76,0,67,521.03,Normal
2017-12-31,P120,1,69,5,64,30,114,0,82,555.07,Normal
2017-12-31,P120,6,0,0,0,42,210,210,0,555.07,Sin stock
2017-12-31,P120,8,46,4,42,9,93,0,70,555.07,Normal
2017-12-31,P121,1,125,2,123,50,190,0,139,1139.23,Normal
2017-12-31,P121,2,28,1,27,3,31,0,31,1139.23,Normal
2017-12-31,P121,3,105,3,102,16,128,0,121,1139.23,Normal
2017-12-31,P122,3,85,4,81,24,108,0,91,1330.26,Normal
2017-12-31,P122,4,132,4,128,50,190,0,126,1330.26,Normal
2017-12-31,P122,5,36,2,34,8,64,0,56,1330.26,Normal
2017-12-31,P123,2,44,1,43,18,186,0,199,1051.97,Normal
2017-12-31,P123,4,38,5,33,52,164,131,132,1051.97,Bajo minimo
2017-12-31,P123,5,0,0,0,21,105,105,0,1051.97,Sin stock
2017-12-31,P124,1,74,1,73,30,114,0,91,1163.49,Normal
2017-12-31,P124,7,57,4,53,42,210,0,163,1163.49,Normal
2017-12-31,P124,9,158,9,149,45,185,0,131,1163.49,Normal
2017-12-31,P125,5,21,1,20,10,38,0,0,1174.36,Normal
2017-12-31,P125,6,0,0,0,3,31,31,28,1174.36,Sin stock
2017-12-31,P125,9,67,3,64,24,80,0,50,1174.36,Normal
2017-12-31,P126,1,19,1,18,10,38,0,21,1139.87,Normal
2017-12-31,P126,7,165,4,161,55,195,0,172,1139.87,Normal
2017-12-31,P126,8,4,1,3,25,165,162,164,1139.87,Bajo minimo
2017-12-31,P127,1,57,2,55,33,117,0,89,1131.68,Normal
2017-12-31,P127,4,45,1,44,42,126,0,87,1131.68,Normal
2017-12-31,P127,8,92,8,84,32,144,0,104,1131.68,Normal
2017-12-31,P128,3,31,16,15,48,216,201,170,912.98,Bajo minimo
2017-12-31,P128,5,12,2,10,8,36,0,0,912.98,Normal
2017-12-31,P128,9,0,0,0,30,198,198,0,912.98,Sin stock
2017-12-31,P129,6,9,4,5,12,68,63,55,1068.66,Bajo minimo
2017-12-31,P129,7,57,4,53,12,124,0,127,1068.66,Normal
2017-12-31,P129,8,19,2,17,8,36,0,36,1068.66,Normal
2017-12-31,P130,4,92,16,76,42,210,0,180,1019.51,Normal
2017-12-31,P130,5,0,0,0,14,42,42,0,1019.51,Sin stock
