ProductID,WarehouseID,LeadTimeDays,MinimumStock,TargetStock,Scenario
P111,6,10,40,152,Normal
P111,8,8,24,108,Normal
P112,5,13,65,205,Demora
P112,7,12,72,240,Normal
P112,8,11,33,117,Normal
P113,2,5,10,66,Demora
P113,5,4,16,128,Normal
P113,8,14,56,168,Normal
P114,3,9,27,111,Normal
P114,4,13,78,246,Normal
P114,6,6,6,34,Normal
P115,1,14,14,42,Normal
P115,6,5,20,132,Normal
P115,9,3,3,31,Exceso
P116,1,8,40,180,Normal
P116,3,4,16,128,Normal
P116,8,12,12,40,Sin demanda
P117,4,4,12,96,Normal
P117,7,3,9,93,Normal
P117,8,8,40,180,Normal
P118,3,10,40,152,Exceso
P118,6,13,39,123,Sin demanda
P118,8,11,66,234,Normal
P119,1,6,36,204,Demora
P119,8,3,18,186,Demora
P119,9,10,20,76,Normal
P120,1,10,30,114,Normal
P120,6,7,42,210,Demora
P120,8,3,9,93,Normal
P121,1,10,50,190,Normal
P121,2,3,3,31,Normal
P121,3,4,16,128,Normal
P122,3,8,24,108,Normal
P122,4,10,50,190,Normal
P122,5,4,8,64,Normal
P123,2,3,18,186,Normal
P123,4,13,52,164,Exceso
P123,5,7,21,105,Demora
P124,1,10,30,114,Normal
P124,7,7,42,210,Normal
P124,9,9,45,185,Normal
P125,5,10,10,38,Sin demanda
P125,6,3,3,31,Normal
P125,9,12,24,80,Normal
P126,1,10,10,38,Exceso
P126,7,11,55,195,Normal
P126,8,5,25,165,Exceso
P127,1,11,33,117,Normal
P127,4,14,42,126,Normal
P127,8,8,32,144,Normal
P128,3,8,48,216,Normal
P128,5,8,8,36,Sin demanda
P128,9,5,30,198,Demora
P129,6,6,12,68,Normal
P129,7,3,12,124,Normal
P129,8,8,8,36,Normal
P130,4,7,42,210,Normal
P130,5,14,14,42,Demora
P130,6,5,30,198,Normal
P131,1,7,28,140,Exceso
P131,2,8,16,72,Normal
P131,4,9,54,222,Demora
P132,2,6,18,102,Demora
P132,3,4,12,96,Exceso
P132,8,3,6,62,Normal
P133,1,10,40,152,Normal
P133,2,3,15,155,Demora
P133,6,5,30,198,Demora
P134,3,11,33,117,Normal
P134,7,13,78,246,Normal
P134,8,5,5,33,Normal
P135,3,11,22,78,Normal
P135,7,11,33,117,Sin demanda
P135,8,14,28,84,Normal
P136,4,5,5,33,Exceso
P136,5,11,22,78,Normal
P136,6,4,16,128,Demora
P137,1,14,28,84,Exceso
P137,5,8,24,108,Exceso
P137,7,8,24,108,Normal
P138,4,7,7,35,Demora
P138,5,11,33,117,Normal
P138,9,10,50,190,Normal
P139,1,6,18,102,Normal
P139,5,4,12,96,Normal
P139,6,9,54,222,Normal
P140,3,8,24,108,Demora
P140,8,4,16,128,Demora
P140,9,8,8,36,Demora
P141,2,7,28,140,Normal
P141,5,3,3,31,Normal
P141,9,7,7,35,Normal
P142,7,14,70,210,Normal
P142,8,3,12,124,Sin demanda
P142,9,14,28,84,Exceso
P143,3,4,12,96,Normal
P143,6,14,28,84,Normal
P143,9,4,20,160,Exceso
P144,2,9,18,74,Normal
P144,3,7,42,210,Normal
P144,8,12,24,80,Normal
P145,1,3,18,186,Normal
P145,5,3,15,155,Sin demanda
P145,9,13,13,41,Demora
P146,3,8,32,144,Exceso
P146,5,4,8,64,Normal
P146,7,10,60,228,Normal
P147,2,7,21,105,Normal
P147,5,13,52,164,Normal
P147,8,5,10,66,Demora
P148,5,7,21,105,Normal
P148,6,8,8,36,Demora
P148,9,7,42,210,Normal
P149,1,9,54,222,Exceso
P149,3,7,21,105,Normal
P149,9,14,28,84,Exceso
P150,3,4,24,192,Sin demanda
P150,4,4,12,96,Normal
P150,8,13,26,82,Sin demanda
P151,3,14,28,84,Exceso
P151,5,14,14,42,Normal
P151,9,9,18,74,Demora
P152,1,11,44,156,Sin demanda
P152,2,9,45,185,Normal
P152,5,5,20,132,Normal
P153,1,14,70,210,Normal
P153,4,12,24,80,Demora
P153,6,7,42,210,Demora
P154,1,10,60,228,Demora
P154,7,4,4,32,Normal
P154,9,13,78,246,Normal
P155,1,3,3,31,Normal
P155,4,9,54,222,Demora
P155,9,9,45,185,Demora
P156,5,10,10,38,Exceso
P156,6,11,22,78,Normal
P156,7,13,52,164,Demora
P157,1,4,24,192,Normal
P157,2,10,20,76,Exceso
P157,9,6,6,34,Normal
P158,3,14,84,252,Normal
P158,5,4,20,160,Exceso
P158,8,11,11,39,Normal
P159,3,9,36,148,Exceso
P159,6,14,84,252,Normal
P159,7,8,8,36,Exceso
P160,2,10,60,228,Sin demanda
P160,3,14,42,126,Normal
P160,6,6,12,68,Normal
P161,3,13,65,205,Normal
P161,4,8,32,144,Normal
P161,5,9,9,37,Demora
P162,3,11,22,78,Normal
P162,7,8,48,216,Normal
P162,9,5,5,33,Normal
P163,1,10,60,228,Normal
P163,2,14,42,126,Normal
P163,5,5,20,132,Normal
P164,5,6,18,102,Normal
P164,6,7,35,175,Exceso
P164,9,4,16,128,Exceso
P165,1,7,7,35,Normal
P165,3,7,21,105,Normal
P165,9,5,30,198,Exceso
P166,4,8,16,72,Demora
P166,6,9,18,74,Normal
P166,9,10,50,190,Normal
P167,1,5,25,165,Normal
P167,4,10,60,228,Normal
P167,9,9,45,185,Exceso
P168,2,10,60,228,Normal
P168,6,12,36,120,Normal
P168,7,5,25,165,Normal
P169,2,8,40,180,Normal
P169,7,6,12,68,Normal
P169,9,10,10,38,Normal
P170,3,9,45,185,Normal
P170,5,8,40,180,Sin demanda
P170,7,12,12,40,Normal
P171,1,9,27,111,Normal
P171,8,7,21,105,Normal
P171,9,3,6,62,Normal
P172,4,10,40,152,Exceso
P172,5,10,50,190,Normal
P172,6,12,36,120,Exceso
P173,1,5,20,132,Exceso
P173,5,9,27,111,Normal
P173,6,13,78,246,Normal
P174,2,9,36,148,Normal
P174,5,14,42,126,Normal
P174,8,12,72,240,Normal
P175,2,6,12,68,Normal
P175,6,4,24,192,Normal
P175,9,3,3,31,Sin demanda
P176,1,13,78,246,Normal
P176,6,6,24,136,Normal
P176,9,11,33,117,Normal
P177,2,6,6,34,Normal
P177,5,13,78,246,Sin demanda
P177,7,8,48,216,Normal
P178,2,14,70,210,Normal
P178,7,4,24,192,Exceso
P178,8,9,18,74,Demora
P179,2,12,12,40,Normal
P179,3,7,14,70,Sin demanda
P179,4,6,6,34,Demora
P180,1,5,5,33,Normal
P180,2,4,20,160,Normal
P180,9,12,48,160,Normal
P181,4,9,36,148,Normal
P181,8,6,36,204,Normal
P181,9,10,30,114,Exceso
P182,3,8,48,216,Exceso
P182,7,11,22,78,Normal
P182,9,7,28,140,Normal
P183,1,7,28,140,Exceso
P183,5,7,7,35,Normal
P183,6,12,24,80,Normal
P184,3,3,3,31,Normal
P184,5,4,24,192,Normal
P184,6,13,26,82,Normal
P185,2,10,40,152,Normal
P185,3,7,42,210,Exceso
P185,5,4,20,160,Normal
P186,3,3,6,62,Normal
P186,6,9,18,74,Demora
P186,7,13,13,41,Demora
P187,2,13,78,246,Exceso
P187,4,7,28,140,Demora
P187,6,14,56,168,Demora
P188,5,11,22,78,Normal
P188,6,9,54,222,Normal
P188,7,13,65,205,Normal
P189,3,8,32,144,Normal
P189,7,14,56,168,Normal
P189,8,13,26,82,Normal
P190,3,8,24,108,Exceso
P190,8,7,42,210,Exceso
P190,9,3,15,155,Exceso
P191,6,3,6,62,Normal
P191,7,7,14,70,Normal
P191,8,3,9,93,Exceso
P192,1,14,14,42,Normal
P192,2,3,3,31,Exceso
P192,8,5,10,66,Normal
P193,2,8,40,180,Demora
P193,5,12,72,240,Normal
P193,7,4,16,128,Exceso
P194,5,4,8,64,Normal
P194,6,14,42,126,Normal
P194,8,10,50,190,Normal
P195,5,9,54,222,Normal
P195,8,4,12,96,Normal
P195,9,3,9,93,Normal
P196,3,14,56,168,Normal
P196,5,14,28,84,Normal
P196,6,8,8,36,Normal
P197,2,10,50,190,Demora
P197,3,10,40,152,Exceso
P197,7,11,44,156,Sin demanda
P198,3,14,70,210,Exceso
P198,4,12,36,120,Demora
P198,7,6,12,68,Normal
P199,4,10,40,152,Exceso
P199,5,13,78,246,Demora
P199,6,10,50,190,Normal
P200,2,5,30,198,Normal
P200,7,12,48,160,Normal
P200,9,6,30,170,Demora
P201,2,8,32,144,Normal
P201,5,3,3,31,Normal
P201,7,11,11,39,Exceso
P202,3,4,8,64,Exceso
P202,6,9,9,37,Normal
P202,7,14,70,210,Normal
P203,5,9,27,111,Normal
P203,8,8,16,72,Normal
P203,9,12,24,80,Normal
P204,2,13,78,246,Normal
P204,6,13,52,164,Normal
P204,9,11,66,234,Normal
P205,3,11,55,195,Normal
P205,4,11,22,78,Demora
P205,7,5,5,33,Normal
P206,4,3,12,124,Demora
P206,5,9,18,74,Normal
P206,6,6,24,136,Normal
P207,1,4,24,192,Normal
P207,3,11,11,39,Normal
P207,9,3,3,31,Normal
P208,1,4,20,160,Sin demanda
P208,2,7,14,70,Sin demanda
P208,9,12,48,160,Normal
P209,1,4,4,32,Exceso
P209,3,7,7,35,Demora
P209,4,5,20,132,Normal
P210,3,12,48,160,Normal
P210,5,13,26,82,Demora
P210,8,11,11,39,Normal
P211,3,4,4,32,Normal
P211,5,8,16,72,Normal
P211,6,13,78,246,Normal
P212,1,10,60,228,Demora
P212,5,9,54,222,Demora
P212,6,7,28,140,Normal
P213,1,10,50,190,Normal
P213,4,10,30,114,Exceso
P213,8,6,24,136,Demora
P214,3,13,26,82,Normal
P214,6,13,13,41,Normal
P214,8,4,12,96,Exceso
P215,2,4,20,160,Normal
P215,3,10,50,190,Normal
P215,5,8,8,36,Normal
P216,1,8,8,36,Normal
P216,3,6,24,136,Exceso
P216,4,9,45,185,Normal
P217,3,9,45,185,Normal
P217,4,14,14,42,Normal
P217,7,13,65,205,Demora
P218,3,3,3,31,Demora
P218,7,12,72,240,Exceso
P218,9,8,48,216,Normal
P219,2,13,65,205,Normal
P219,4,11,11,39,Normal
P219,8,8,40,180,Sin demanda
P220,2,5,5,33,Demora
P220,5,4,4,32,Normal
P220,6,9,36,148,Exceso
P221,3,11,44,156,Sin demanda
P221,4,11,11,39,Normal
P221,9,8,16,72,Normal
P222,3,3,15,155,Normal
P222,4,4,20,160,Normal
P222,5,11,44,156,Exceso
P223,2,14,42,126,Demora
P223,5,13,65,205,Normal
P223,6,14,56,168,Sin demanda
P224,4,3,3,31,Normal
P224,8,13,39,123,Normal
P224,9,14,84,252,Normal
P225,1,14,70,210,Normal
P225,3,6,30,170,Normal
P225,6,3,9,93,Normal
P226,3,6,12,68,Normal
P226,6,5,20,132,Normal
P226,9,13,52,164,Demora
P227,3,13,26,82,Sin demanda
P227,6,14,84,252,Exceso
P227,9,11,66,234,Normal
P228,5,5,10,66,Sin demanda
P228,8,14,84,252,Demora
P228,9,12,72,240,Normal
P229,2,8,40,180,Normal
P229,5,10,10,38,Normal
P229,9,11,22,78,Sin demanda
P230,3,7,35,175,Normal
P230,5,11,66,234,Normal
P230,9,9,27,111,Normal
P231,2,12,36,120,Demora
P231,4,4,24,192,Normal
P231,6,7,14,70,Normal
P232,2,3,3,31,Exceso
P232,7,6,12,68,Normal
P232,9,3,9,93,Normal
P233,3,11,11,39,Demora
P233,6,9,36,148,Normal
P233,8,13,65,205,Normal
P234,2,4,8,64,Normal
P234,5,13,39,123,Normal
P234,7,11,33,117,Demora
P235,1,3,18,186,Sin demanda
P235,4,12,60,200,Demora
P235,6,7,7,35,Normal
P236,3,12,72,240,Demora
P236,5,5,25,165,Normal
P236,8,9,9,37,Normal
P237,1,3,15,155,Normal
P237,2,9,45,185,Normal
P237,4,14,84,252,Normal
P238,3,5,5,33,Normal
P238,5,6,6,34,Normal
P238,7,8,40,180,Exceso
P239,5,9,54,222,Normal
P239,6,10,40,152,Normal
P239,7,3,12,124,Demora
P240,3,5,15,99,Exceso
P240,5,10,30,114,Normal
P240,6,3,6,62,Normal
P241,1,5,15,99,Normal
P241,2,3,15,155,Sin demanda
P241,9,13,13,41,Normal
P242,1,8,32,144,Normal
P242,2,3,3,31,Normal
P242,7,5,5,33,Normal
P243,2,7,14,70,Normal
P243,3,8,32,144,Normal
P243,7,6,12,68,Normal
P244,1,6,12,68,Normal
P244,2,14,42,126,Demora
P244,4,14,28,84,Normal
P245,2,10,40,152,Exceso
P245,3,14,42,126,Normal
P245,5,7,7,35,Demora
P246,2,10,50,190,Exceso
P246,4,9,36,148,Normal
P246,5,8,8,36,Normal
P247,2,6,36,204,Normal
P247,3,13,39,123,Demora
P247,5,11,55,195,Exceso
P248,1,7,35,175,Normal
P248,6,9,54,222,Exceso
P248,7,11,66,234,Normal
P249,1,6,36,204,Normal
P249,3,12,12,40,Exceso
P249,4,8,40,180,Exceso
P250,3,14,14,42,Normal
P250,6,7,42,210,Normal
P250,7,8,16,72,Normal
P251,1,13,65,205,Normal
P251,6,8,24,108,Normal
P251,7,10,50,190,Demora
P252,3,14,56,168,Exceso
P252,6,8,16,72,Normal
P252,7,13,13,41,Normal
P253,3,5,25,165,Normal
P253,8,3,15,155,Normal
P253,9,5,10,66,Normal
P254,4,6,30,170,Normal
P254,6,6,30,170,Demora
P254,8,9,45,185,Normal
P255,3,6,24,136,Normal
P255,6,4,4,32,Exceso
P255,8,5,15,99,Normal
P256,1,13,26,82,Normal
P256,6,3,15,155,Demora
P256,9,6,36,204,Normal
P257,2,4,8,64,Normal
P257,4,9,18,74,Normal
P257,8,13,52,164,Exceso
P258,1,5,20,132,Normal
P258,2,5,20,132,Normal
P258,7,8,24,108,Sin demanda
P259,1,4,24,192,Normal
P259,5,5,5,33,Exceso
P259,9,3,6,62,Normal
P260,6,6,18,102,Exceso
P260,7,13,26,82,Demora
P260,9,8,48,216,Exceso
P261,1,9,27,111,Normal
P261,5,5,30,198,Demora
P261,7,8,48,216,Normal
P262,1,9,45,185,Normal
P262,2,10,50,190,Sin demanda
P262,4,3,15,155,Normal
P263,3,13,26,82,Normal
P263,4,10,10,38,Normal
P263,9,7,35,175,Demora
P264,1,9,9,37,Exceso
P264,3,10,20,76,Normal
P264,6,3,12,124,Normal
P265,1,10,30,114,Normal
P265,2,8,8,36,Demora
P265,6,8,16,72,Normal
P266,4,14,84,252,Normal
P266,5,7,7,35,Normal
P266,8,3,9,93,Normal
P267,4,8,40,180,Normal
P267,5,10,60,228,Normal
P267,9,7,14,70,Exceso
P268,2,10,10,38,Demora
P268,7,9,45,185,Normal
P268,9,6,36,204,Normal
P269,3,7,14,70,Normal
P269,4,6,6,34,Normal
P269,8,10,50,190,Normal
P270,4,4,12,96,Normal
P270,7,13,65,205,Normal
P270,9,3,6,62,Normal
P271,3,11,11,39,Demora
P271,8,9,54,222,Normal
P271,9,6,30,170,Normal
P272,2,5,15,99,Normal
P272,6,3,18,186,Normal
P272,8,11,22,78,Normal
P273,1,7,35,175,Demora
P273,6,3,3,31,Demora
P273,7,14,28,84,Demora
P274,2,9,54,222,Normal
P274,6,8,48,216,Normal
P274,8,7,35,175,Demora
P275,4,11,55,195,Exceso
P275,8,10,10,38,Normal
P275,9,12,12,40,Normal
P276,6,9,54,222,Normal
P276,7,11,33,117,Demora
P276,9,13,39,123,Normal
P277,1,9,54,222,Normal
P277,6,7,42,210,Normal
P277,8,14,70,210,Normal
P278,5,14,42,126,Normal
P278,7,11,11,39,Exceso
P278,9,5,25,165,Normal
P279,3,12,12,40,Normal
P279,5,12,12,40,Exceso
P279,6,12,12,40,Normal
P280,1,8,16,72,Normal
P280,5,10,50,190,Normal
P280,6,11,22,78,Demora
P281,1,12,60,200,Demora
P281,5,5,15,99,Sin demanda
P281,7,4,20,160,Sin demanda
P282,2,12,24,80,Demora
P282,5,4,20,160,Normal
P282,7,11,11,39,Normal
P283,1,13,13,41,Normal
P283,3,4,16,128,Normal
P283,5,14,28,84,Demora
P284,1,13,52,164,Normal
P284,4,3,3,31,Demora
P284,7,14,56,168,Normal
P285,7,11,33,117,Normal
P285,8,4,20,160,Normal
P285,9,3,12,124,Exceso
P286,2,6,36,204,Normal
P286,3,5,20,132,Normal
P286,8,6,6,34,Demora
P287,4,12,12,40,Normal
P287,8,4,24,192,Normal
P287,9,4,24,192,Demora
P288,4,3,9,93,Demora
P288,6,11,44,156,Exceso
P288,7,10,60,228,Normal
P289,3,11,22,78,Exceso
P289,5,3,3,31,Normal
P289,7,6,24,136,Normal
P290,1,3,9,93,Normal
P290,3,5,25,165,Sin demanda
P290,6,13,39,123,Demora
P291,2,8,24,108,Normal
P291,6,12,36,120,Normal
P291,8,3,12,124,Exceso
P292,4,3,9,93,Normal
P292,8,7,14,70,Normal
P292,9,5,15,99,Exceso
P293,1,5,30,198,Exceso
P293,5,8,32,144,Normal
P293,6,14,70,210,Normal
P294,5,13,78,246,Normal
P294,7,10,30,114,Normal
P294,9,11,11,39,Normal
P295,2,7,28,140,Exceso
P295,3,13,26,82,Demora
P295,6,6,36,204,Normal
P296,5,5,20,132,Normal
P296,7,7,42,210,Normal
P296,8,5,5,33,Sin demanda
P297,4,4,8,64,Normal
P297,5,8,32,144,Normal
P297,9,14,56,168,Normal
P298,2,3,12,124,Normal
P298,3,4,8,64,Normal
P298,7,4,4,32,Normal
P299,3,12,48,160,Normal
P299,7,6,18,102,Normal
P299,9,13,52,164,Exceso
P300,7,10,20,76,Normal
P300,8,12,48,160,Normal
P300,9,6,30,170,Exceso
P301,2,6,12,68,Demora
P301,5,7,42,210,Normal
P301,7,11,33,117,Normal
P302,4,8,24,108,Normal
P302,5,6,24,136,Normal
P302,9,10,30,114,Normal
P303,3,4,8,64,Normal
P303,4,12,48,160,Normal
P303,5,9,9,37,Normal
P304,2,12,12,40,Normal
